Hospital_ID,Hospital_Name,City,Latitude,Longitude,Item_Name,Category,Quantity_Available,Minimum_Required,Status,Expiry_Date
HOSP-1000,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Insulin Vials,Medicine,152,150,Normal,2026-04-05
HOSP-1001,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Paracetamol IV,Medicine,596,200,Normal,2027-02-12
HOSP-1002,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,250,200,Normal,2026-03-04
HOSP-1003,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Remdesivir Injection,Medicine,424,100,Normal,2027-11-11
HOSP-1004,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,0,20,CRITICAL,2026-09-06
HOSP-1005,Salem Govt Hospital,Salem,11.6643,78.146,Ventilator Circuit,Equipment,66,15,Normal,2025-12-28
HOSP-1006,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Oxygen Cylinder (B-Type),Respiratory,61,50,Normal,2027-05-15
HOSP-1007,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Oxygen Cylinder (B-Type),Respiratory,32,50,CRITICAL,2027-07-09
HOSP-1008,Coimbatore Medical College,Coimbatore,11.0168,76.9558,N95 Masks,PPE,544,300,Normal,2026-05-02
HOSP-1009,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Blood Bag (O+ Positive),Blood Bank,21,20,Normal,2026-08-19
HOSP-1010,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Insulin Vials,Medicine,441,150,Normal,2026-02-09
HOSP-1011,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Insulin Vials,Medicine,17,150,CRITICAL,2027-04-15
HOSP-1012,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,284,100,Normal,2027-03-31
HOSP-1013,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,1402,300,Normal,2027-03-19
HOSP-1014,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,124,150,CRITICAL,2027-03-25
HOSP-1015,Salem Govt Hospital,Salem,11.6643,78.146,Surgical Gloves (Sterile),Consumables,1569,500,Normal,2027-10-19
HOSP-1016,Salem Govt Hospital,Salem,11.6643,78.146,Surgical Gloves (Sterile),Consumables,810,500,Normal,2026-10-08
HOSP-1017,Salem Govt Hospital,Salem,11.6643,78.146,Insulin Vials,Medicine,1,150,CRITICAL,2027-01-31
HOSP-1018,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,310,100,Normal,2026-08-05
HOSP-1019,Salem Govt Hospital,Salem,11.6643,78.146,Oxygen Cylinder (B-Type),Respiratory,225,50,Normal,2027-02-13
HOSP-1020,Thanjavur Medical College,Thanjavur,10.787,79.1378,Blood Bag (O+ Positive),Blood Bank,48,20,Normal,2027-09-25
HOSP-1021,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Oxygen Cylinder (B-Type),Respiratory,178,50,Normal,2027-02-23
HOSP-1022,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Insulin Vials,Medicine,271,150,Normal,2027-11-02
HOSP-1023,Madurai Medical College,Madurai,9.9252,78.1198,Blood Bag (O+ Positive),Blood Bank,34,20,Normal,2026-09-21
HOSP-1024,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Ventilator Circuit,Equipment,61,15,Normal,2026-01-10
HOSP-1025,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Oxygen Cylinder (B-Type),Respiratory,233,50,Normal,2027-07-11
HOSP-1026,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Surgical Gloves (Sterile),Consumables,1542,500,Normal,2027-03-27
HOSP-1027,Madurai Medical College,Madurai,9.9252,78.1198,Blood Bag (O+ Positive),Blood Bank,23,20,Normal,2026-07-04
HOSP-1028,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Blood Bag (O+ Positive),Blood Bank,37,20,Normal,2026-09-16
HOSP-1029,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,938,300,Normal,2026-11-29
HOSP-1030,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,542,200,Normal,2027-06-26
HOSP-1031,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Oxygen Cylinder (B-Type),Respiratory,72,50,Normal,2027-05-30
HOSP-1032,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,283,100,Normal,2026-10-03
HOSP-1033,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,N95 Masks,PPE,505,300,Normal,2027-02-10
HOSP-1034,Madurai Medical College,Madurai,9.9252,78.1198,N95 Masks,PPE,1349,300,Normal,2027-04-21
HOSP-1035,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Blood Bag (O+ Positive),Blood Bank,31,20,Normal,2027-03-28
HOSP-1036,Madurai Medical College,Madurai,9.9252,78.1198,Surgical Gloves (Sterile),Consumables,1696,500,Normal,2026-10-13
HOSP-1037,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Oxygen Cylinder (B-Type),Respiratory,90,50,Normal,2026-05-15
HOSP-1038,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,38,15,Normal,2026-09-21
HOSP-1039,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Surgical Gloves (Sterile),Consumables,2482,500,Normal,2027-09-03
HOSP-1040,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,772,200,Normal,2026-07-10
HOSP-1041,Salem Govt Hospital,Salem,11.6643,78.146,N95 Masks,PPE,1072,300,Normal,2026-04-25
HOSP-1042,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Ventilator Circuit,Equipment,65,15,Normal,2027-11-03
HOSP-1043,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Oxygen Cylinder (B-Type),Respiratory,50,50,Normal,2026-07-11
HOSP-1044,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,309,100,Normal,2027-06-04
HOSP-1045,Madurai Medical College,Madurai,9.9252,78.1198,Paracetamol IV,Medicine,253,200,Normal,2027-02-06
HOSP-1046,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,104,100,Normal,2026-03-04
HOSP-1047,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,400,100,Normal,2026-07-30
HOSP-1048,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Paracetamol IV,Medicine,605,200,Normal,2027-02-07
HOSP-1049,Salem Govt Hospital,Salem,11.6643,78.146,Surgical Gloves (Sterile),Consumables,1980,500,Normal,2027-03-29
HOSP-1050,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Remdesivir Injection,Medicine,481,100,Normal,2026-11-09
HOSP-1051,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Blood Bag (O+ Positive),Blood Bank,19,20,CRITICAL,2027-08-01
HOSP-1052,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,508,200,Normal,2027-05-01
HOSP-1053,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Insulin Vials,Medicine,447,150,Normal,2026-10-11
HOSP-1054,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Insulin Vials,Medicine,639,150,Normal,2027-08-24
HOSP-1055,Thanjavur Medical College,Thanjavur,10.787,79.1378,N95 Masks,PPE,227,300,CRITICAL,2026-10-07
HOSP-1056,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Surgical Gloves (Sterile),Consumables,2464,500,Normal,2027-11-14
HOSP-1057,Salem Govt Hospital,Salem,11.6643,78.146,Paracetamol IV,Medicine,452,200,Normal,2027-11-11
HOSP-1058,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,22,20,Normal,2026-04-20
HOSP-1059,Salem Govt Hospital,Salem,11.6643,78.146,Blood Bag (O+ Positive),Blood Bank,61,20,Normal,2026-05-24
HOSP-1060,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Paracetamol IV,Medicine,457,200,Normal,2027-10-09
HOSP-1061,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,N95 Masks,PPE,1438,300,Normal,2026-05-03
HOSP-1062,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,52,20,Normal,2027-10-02
HOSP-1063,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,3,15,CRITICAL,2026-05-29
HOSP-1064,Madurai Medical College,Madurai,9.9252,78.1198,Insulin Vials,Medicine,574,150,Normal,2026-07-02
HOSP-1065,Madurai Medical College,Madurai,9.9252,78.1198,Insulin Vials,Medicine,145,150,CRITICAL,2026-08-13
HOSP-1066,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Surgical Gloves (Sterile),Consumables,2013,500,Normal,2027-02-22
HOSP-1067,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,464,200,Normal,2027-04-25
HOSP-1068,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,1275,300,Normal,2027-04-04
HOSP-1069,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Surgical Gloves (Sterile),Consumables,298,500,CRITICAL,2027-01-14
HOSP-1070,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Insulin Vials,Medicine,624,150,Normal,2026-07-30
HOSP-1071,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Blood Bag (O+ Positive),Blood Bank,53,20,Normal,2027-05-28
HOSP-1072,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,1026,300,Normal,2026-09-11
HOSP-1073,Thanjavur Medical College,Thanjavur,10.787,79.1378,Oxygen Cylinder (B-Type),Respiratory,123,50,Normal,2027-02-20
HOSP-1074,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,200,300,CRITICAL,2026-09-06
HOSP-1075,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Ventilator Circuit,Equipment,63,15,Normal,2026-06-06
HOSP-1076,Salem Govt Hospital,Salem,11.6643,78.146,Ventilator Circuit,Equipment,3,15,CRITICAL,2027-02-07
HOSP-1077,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,721,200,Normal,2027-07-11
HOSP-1078,Madurai Medical College,Madurai,9.9252,78.1198,Remdesivir Injection,Medicine,436,100,Normal,2026-10-10
HOSP-1079,Madurai Medical College,Madurai,9.9252,78.1198,Paracetamol IV,Medicine,762,200,Normal,2026-05-11
HOSP-1080,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,216,100,Normal,2027-06-02
HOSP-1081,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Remdesivir Injection,Medicine,9,100,CRITICAL,2026-01-24
HOSP-1082,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,17,15,Normal,2026-06-30
HOSP-1083,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,135,100,Normal,2026-04-17
HOSP-1084,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Oxygen Cylinder (B-Type),Respiratory,223,50,Normal,2027-03-25
HOSP-1085,Thanjavur Medical College,Thanjavur,10.787,79.1378,Remdesivir Injection,Medicine,470,100,Normal,2027-09-16
HOSP-1086,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,1333,300,Normal,2026-08-18
HOSP-1087,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,827,300,Normal,2026-06-03
HOSP-1088,Salem Govt Hospital,Salem,11.6643,78.146,Ventilator Circuit,Equipment,59,15,Normal,2026-03-27
HOSP-1089,Madurai Medical College,Madurai,9.9252,78.1198,Surgical Gloves (Sterile),Consumables,1353,500,Normal,2026-03-30
HOSP-1090,Salem Govt Hospital,Salem,11.6643,78.146,Paracetamol IV,Medicine,19,200,CRITICAL,2027-03-21
HOSP-1091,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Remdesivir Injection,Medicine,233,100,Normal,2027-04-26
HOSP-1092,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,179,100,Normal,2027-03-19
HOSP-1093,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Insulin Vials,Medicine,739,150,Normal,2027-05-08
HOSP-1094,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,1349,300,Normal,2027-05-03
HOSP-1095,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Oxygen Cylinder (B-Type),Respiratory,209,50,Normal,2027-09-24
HOSP-1096,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Insulin Vials,Medicine,98,150,CRITICAL,2026-11-18
HOSP-1097,Madurai Medical College,Madurai,9.9252,78.1198,Paracetamol IV,Medicine,213,200,Normal,2027-09-04
HOSP-1098,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Oxygen Cylinder (B-Type),Respiratory,120,50,Normal,2027-01-11
HOSP-1099,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Oxygen Cylinder (B-Type),Respiratory,122,50,Normal,2026-09-13
HOSP-1100,Salem Govt Hospital,Salem,11.6643,78.146,Blood Bag (O+ Positive),Blood Bank,73,20,Normal,2027-03-26
HOSP-1101,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,48,15,Normal,2025-12-26
HOSP-1102,Salem Govt Hospital,Salem,11.6643,78.146,Paracetamol IV,Medicine,279,200,Normal,2026-04-24
HOSP-1103,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,177,200,CRITICAL,2026-06-09
HOSP-1104,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Surgical Gloves (Sterile),Consumables,2199,500,Normal,2027-08-10
HOSP-1105,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Surgical Gloves (Sterile),Consumables,831,500,Normal,2026-04-17
HOSP-1106,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Paracetamol IV,Medicine,869,200,Normal,2027-08-30
HOSP-1107,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,538,200,Normal,2026-12-25
HOSP-1108,Madurai Medical College,Madurai,9.9252,78.1198,Ventilator Circuit,Equipment,65,15,Normal,2026-03-17
HOSP-1109,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Ventilator Circuit,Equipment,7,15,CRITICAL,2026-04-13
HOSP-1110,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Surgical Gloves (Sterile),Consumables,830,500,Normal,2026-04-26
HOSP-1111,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Ventilator Circuit,Equipment,54,15,Normal,2026-05-17
HOSP-1112,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Paracetamol IV,Medicine,984,200,Normal,2026-11-12
HOSP-1113,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,128,100,Normal,2026-08-27
HOSP-1114,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Surgical Gloves (Sterile),Consumables,1350,500,Normal,2026-05-16
HOSP-1115,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Surgical Gloves (Sterile),Consumables,1380,500,Normal,2026-09-16
HOSP-1116,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Ventilator Circuit,Equipment,39,15,Normal,2026-08-21
HOSP-1117,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,416,200,Normal,2027-03-19
HOSP-1118,Salem Govt Hospital,Salem,11.6643,78.146,Oxygen Cylinder (B-Type),Respiratory,180,50,Normal,2027-09-02
HOSP-1119,Salem Govt Hospital,Salem,11.6643,78.146,Oxygen Cylinder (B-Type),Respiratory,239,50,Normal,2025-12-31
HOSP-1120,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Insulin Vials,Medicine,257,150,Normal,2026-04-30
HOSP-1121,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Paracetamol IV,Medicine,611,200,Normal,2026-03-11
HOSP-1122,Thanjavur Medical College,Thanjavur,10.787,79.1378,Blood Bag (O+ Positive),Blood Bank,64,20,Normal,2026-12-05
HOSP-1123,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,98,300,CRITICAL,2026-07-11
HOSP-1124,Madurai Medical College,Madurai,9.9252,78.1198,Blood Bag (O+ Positive),Blood Bank,88,20,Normal,2027-07-09
HOSP-1125,Salem Govt Hospital,Salem,11.6643,78.146,N95 Masks,PPE,875,300,Normal,2026-09-23
HOSP-1126,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Remdesivir Injection,Medicine,87,100,CRITICAL,2026-05-27
HOSP-1127,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,757,200,Normal,2026-04-25
HOSP-1128,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,308,100,Normal,2027-06-16
HOSP-1129,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,737,150,Normal,2027-08-26
HOSP-1130,Madurai Medical College,Madurai,9.9252,78.1198,Remdesivir Injection,Medicine,75,100,CRITICAL,2026-10-08
HOSP-1131,Salem Govt Hospital,Salem,11.6643,78.146,Insulin Vials,Medicine,68,150,CRITICAL,2026-05-25
HOSP-1132,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Ventilator Circuit,Equipment,8,15,CRITICAL,2026-09-16
HOSP-1133,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Remdesivir Injection,Medicine,462,100,Normal,2026-11-25
HOSP-1134,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Surgical Gloves (Sterile),Consumables,2321,500,Normal,2026-10-18
HOSP-1135,Madurai Medical College,Madurai,9.9252,78.1198,Remdesivir Injection,Medicine,390,100,Normal,2027-09-12
HOSP-1136,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,1136,300,Normal,2026-10-16
HOSP-1137,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Remdesivir Injection,Medicine,165,100,Normal,2026-07-06
HOSP-1138,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Blood Bag (O+ Positive),Blood Bank,98,20,Normal,2026-11-02
HOSP-1139,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Paracetamol IV,Medicine,179,200,CRITICAL,2027-06-20
HOSP-1140,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,561,150,Normal,2027-10-07
HOSP-1141,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,66,20,Normal,2027-03-10
